month,bab_return,ret_L_excess,ret_H_excess,ret_L_raw,ret_H_raw,beta_L,beta_H,n_low,n_high,n_total,rf,median_beta
2009-09,-0.014882594855560219,0.048149188789742385,0.11863535594893862,0.048149188789742385,0.11863535594893862,0.6280169052687568,1.2958359703537066,1514,1515,3029,0.0001,0.915435
2009-10,0.0026689101394668097,-0.013002621700181618,-0.03176670165516258,-0.013002621700181618,-0.03176670165516258,0.6434283630160655,1.3885714369107984,1512,1512,3024,0.0,0.946617
2009-11,-0.0032680195943638225,0.01993115195379921,0.04858180385912584,0.01993115195379921,0.04858180385912584,0.6543750924675378,1.4404716102990296,1503,1503,3006,0.0,0.97443
2009-12,0.0010574081303843935,0.029117355142595593,0.06328566314244438,0.029117355142595593,0.06328566314244438,0.6632021543577705,1.4770224620189456,1517,1518,3035,0.0001,0.990033
2010-01,0.006989169357858503,-0.017886377211426628,-0.05054876219015757,-0.017886377211426628,-0.05054876219015757,0.6712373022783067,1.502815254828135,1536,1536,3072,0.0,0.998844
2010-02,0.010290368716142001,0.02154807843519748,0.033024321695496274,0.02154807843519748,0.033024321695496274,0.6682927386612643,1.5043122038114658,1522,1522,3044,0.0,1.0059
2010-03,0.006082592975095565,0.03907394784459159,0.07811494848427766,0.03907394784459159,0.07811494848427766,0.704439292930011,1.5817365517294304,1573,1574,3147,0.0001,1.063655
2010-04,-0.0005819617597588173,0.031542835784725366,0.07065002202528428,0.031542835784725366,0.07065002202528428,0.7114074111407983,1.5727755674751611,1610,1611,3221,0.0001,1.077496
2010-05,0.008198076289841622,-0.05073782229602907,-0.11979639146236332,-0.05073782229602907,-0.11979639146236332,0.697762745377558,1.4805565169909476,1597,1598,3195,0.0001,1.0481
2010-06,0.039308106337444824,-0.004052255754036693,-0.06404607518356084,-0.004052255754036693,-0.06404607518356084,0.6893528402388345,1.417373334589103,1560,1561,3121,0.0001,1.014902
2010-07,-0.015560820577997403,0.043011794278833504,0.10986110112868053,0.043011794278833504,0.10986110112868053,0.6830175007580986,1.3988983027167055,1557,1558,3115,0.0001,1.012507
2010-08,0.04339959858322293,-0.024158949519325894,-0.10776387565324849,-0.024158949519325894,-0.10776387565324849,0.685089021480778,1.3699339599495874,1549,1549,3098,0.0001,1.0032765000000001
